Date,Value
2022-06-22,19.721791929629
2022-06-24,22.600917957543
2022-06-28,29.001835915086
2022-06-30,24.884681583486
2022-07-01,22.998623063686
2022-07-06,23.569707401043
2022-07-07,24.397819850829
2022-07-08,28.027997705114
2022-07-11,30.084566838786
2022-07-13,26.341594951229
2022-07-14,24.315892139986
2022-07-15,23.974067699371
2022-07-19,29.901893287443
2022-07-21,39.426161790014
2022-07-25,38.598623063686
2022-07-26,38.373034997129
2022-07-27,35.486517498571
2022-07-28,38.231899024671
2022-07-29,39.061732644857
2022-08-01,41.576018359143
2022-08-02,40.090189328743
2022-08-04,44.3205966724
2022-08-05,47.491566265057
2022-08-08,49.577739529543
2022-08-09,49.921744119343
2022-08-10,48.892713711986
2022-08-12,52.895123350543
2022-08-15,54.952839931143
2022-08-16,54.866551921971
2022-08-18,55.351348250143
2022-08-19,54.466896156043
2022-08-22,51.236947791171
2022-08-23,46.120940906486
2022-08-25,46.493975903614
2022-08-26,48.666896156057
2022-08-29,44.207458405057
2022-08-31,49.114285714286
2022-09-01,48.171428571429
2022-09-06,42.857142857143
2022-09-07,41.171428571429
2022-09-08,40.457142857143
2022-09-09,41.742857142857
2022-09-13,48.657142857143
2022-09-14,39.720879120879
2022-09-15,41.714285714286
2022-09-16,40.228571428571
2022-09-19,35.857142857143
2022-09-20,37.171428571429
2022-09-21,36.657142857143
2022-09-22,30.837229437229
2022-09-23,31.108403361345
2022-09-26,24.433954451346
2022-09-27,19.061224489796
2022-09-29,19.150793650794
2022-09-30,16.21409001957
2022-10-03,14.723552123552
2022-10-05,29.142857142857
2022-10-06,29.714285714286
2022-10-07,26.98947368421
2022-10-10,24.939517625232
2022-10-11,20.432967032967
2022-10-13,19.453571428571
2022-10-14,23.257495590829
2022-10-17,21.795121951219
2022-10-19,33.960544217687
2022-10-20,35.818367346939
2022-10-21,40.114285714286
2022-10-25,49.914285714286
2022-10-26,52.971428571429
2022-10-27,57.285714285714
2022-10-31,64.05714
2022-11-01,63.51429
2022-11-02,55.28571
2022-11-03,55.51429
2022-11-04,56.51429
2022-11-07,59.65714
2022-11-08,57.94286
2022-11-09,54.0
2022-11-10,60.34286
2022-11-11,63.74286
2022-11-15,66.91429
2022-11-16,65.08571
2022-11-17,61.48571
2022-11-21,60.97143
2022-11-22,60.8
2022-11-25,63.08571
2022-11-28,59.74286
